2003-08-30 00:00:00 {'A': 2077, 'B': 1759, 'C': 3955, 'D': 2933, 'E': 1983}
2003-08-31 00:00:00 {'A': 2077, 'B': 1759, 'C': 3955, 'D': 2933, 'E': 1983}
2003-09-01 00:00:00 {'A': 2077, 'B': 1759, 'C': 3955, 'D': 2933, 'E': 1983}
2003-09-02 00:00:00 {'A': 2007, 'B': 2068, 'C': 3269, 'D': 2923, 'E': 2745}
2003-09-03 00:00:00 {'A': 2002, 'B': 2072, 'C': 3283, 'D': 2910, 'E': 2746}
2003-09-04 00:00:00 {'A': 2001, 'B': 2075, 'C': 3288, 'D': 2911, 'E': 2738}
2003-09-05 00:00:00 {'A': 2004, 'B': 2066, 'C': 3283, 'D': 2907, 'E': 2750}
2003-09-06 00:00:00 {'A': 2004, 'B': 2066, 'C': 3283, 'D': 2907, 'E': 2750}
2003-09-07 00:00:00 {'A': 2004, 'B': 2066, 'C': 3283, 'D': 2907, 'E': 2750}
2003-09-08 00:00:00 {'A': 2004, 'B': 2086, 'C': 3249, 'D': 2906, 'E': 2775}
2003-09-09 00:00:00 {'A': 2009, 'B': 2075, 'C': 3230, 'D': 2912, 'E': 2793}
2003-09-10 00:00:00 {'A': 2028, 'B': 2071, 'C': 3212, 'D': 2901, 'E': 2785}
2003-09-11 00:00:00 {'A': 2025, 'B': 2077, 'C': 3211, 'D': 2916, 'E': 2776}
2003-09-12 00:00:00 {'A': 2025, 'B': 2081, 'C': 3211, 'D': 2904, 'E': 2781}
2003-09-13 00:00:00 {'A': 2025, 'B': 2081, 'C': 3211, 'D': 2904, 'E': 2781}
2003-09-14 00:00:00 {'A': 2025, 'B': 2081, 'C': 3211, 'D': 2904, 'E': 2781}
2003-09-15 00:00:00 {'A': 2026, 'B': 2076, 'C': 3211, 'D': 2911, 'E': 2778}
2003-09-16 00:00:00 {'A': 2014, 'B': 2091, 'C': 3214, 'D': 2909, 'E': 2791}
2003-09-17 00:00:00 {'A': 2015, 'B': 2088, 'C': 3214, 'D': 2918, 'E': 2781}
2003-09-18 00:00:00 {'A': 2007, 'B': 2106, 'C': 3227, 'D': 2901, 'E': 2781}
2003-09-19 00:00:00 {'A': 2006, 'B': 2099, 'C': 3249, 'D': 2883, 'E': 2780}
2003-09-20 00:00:00 {'A': 2006, 'B': 2099, 'C': 3249, 'D': 2883, 'E': 2780}
2003-09-21 00:00:00 {'A': 2006, 'B': 2099, 'C': 3249, 'D': 2883, 'E': 2780}
2003-09-22 00:00:00 {'A': 2012, 'B': 2078, 'C': 3253, 'D': 2883, 'E': 2780}
2003-09-23 00:00:00 {'A': 2011, 'B': 2088, 'C': 3253, 'D': 2883, 'E': 2774}
2003-09-24 00:00:00 {'A': 2022, 'B': 2062, 'C': 3264, 'D': 2873, 'E': 2764}
2003-09-25 00:00:00 {'A': 2027, 'B': 2054, 'C': 3280, 'D': 2861, 'E': 2752}
2003-09-26 00:00:00 {'A': 2034, 'B': 2049, 'C': 3287, 'D': 2831, 'E': 2755}
2003-09-27 00:00:00 {'A': 2034, 'B': 2049, 'C': 3287, 'D': 2831, 'E': 2755}
2003-09-28 00:00:00 {'A': 2034, 'B': 2049, 'C': 3287, 'D': 2831, 'E': 2755}
2003-09-29 00:00:00 {'A': 2030, 'B': 2063, 'C': 3285, 'D': 2821, 'E': 2765}
2003-09-30 00:00:00 {'A': 2038, 'B': 2051, 'C': 3275, 'D': 2820, 'E': 2769}
2003-10-01 00:00:00 {'A': 2026, 'B': 2083, 'C': 3270, 'D': 2836, 'E': 2760}
2003-10-02 00:00:00 {'A': 2043, 'B': 2106, 'C': 3289, 'D': 2831, 'E': 2671}
2003-10-03 00:00:00 {'A': 2029, 'B': 2110, 'C': 3317, 'D': 2831, 'E': 2666}
2003-10-04 00:00:00 {'A': 2029, 'B': 2110, 'C': 3317, 'D': 2831, 'E': 2666}
2003-10-05 00:00:00 {'A': 2029, 'B': 2110, 'C': 3317, 'D': 2831, 'E': 2666}
2003-10-06 00:00:00 {'A': 2024, 'B': 2114, 'C': 3330, 'D': 2831, 'E': 2659}
2003-10-07 00:00:00 {'A': 2018, 'B': 2118, 'C': 3340, 'D': 2848, 'E': 2642}
2003-10-08 00:00:00 {'A': 2019, 'B': 2110, 'C': 3344, 'D': 2847, 'E': 2642}
2003-10-09 00:00:00 {'A': 2015, 'B': 2114, 'C': 3346, 'D': 2847, 'E': 2645}
2003-10-10 00:00:00 {'A': 2013, 'B': 2112, 'C': 3348, 'D': 2849, 'E': 2649}
2003-10-11 00:00:00 {'A': 2013, 'B': 2112, 'C': 3348, 'D': 2849, 'E': 2649}
2003-10-12 00:00:00 {'A': 2013, 'B': 2112, 'C': 3348, 'D': 2849, 'E': 2649}
2003-10-13 00:00:00 {'A': 2007, 'B': 2120, 'C': 3354, 'D': 2853, 'E': 2646}
2003-10-14 00:00:00 {'A': 2006, 'B': 2127, 'C': 3351, 'D': 2852, 'E': 2646}
2003-10-15 00:00:00 {'A': 2003, 'B': 2119, 'C': 3357, 'D': 2870, 'E': 2639}
2003-10-16 00:00:00 {'A': 2002, 'B': 2125, 'C': 3349, 'D': 2870, 'E': 2643}
2003-10-17 00:00:00 {'A': 2008, 'B': 2111, 'C': 3355, 'D': 2864, 'E': 2641}
2003-10-18 00:00:00 {'A': 2008, 'B': 2111, 'C': 3355, 'D': 2864, 'E': 2641}
2003-10-19 00:00:00 {'A': 2008, 'B': 2111, 'C': 3355, 'D': 2864, 'E': 2641}
2003-10-20 00:00:00 {'A': 2006, 'B': 2117, 'C': 3353, 'D': 2864, 'E': 2643}
2003-10-21 00:00:00 {'A': 2008, 'B': 2123, 'C': 3330, 'D': 2871, 'E': 2653}
2003-10-22 00:00:00 {'A': 2011, 'B': 2096, 'C': 3386, 'D': 2835, 'E': 2636}
2003-10-23 00:00:00 {'A': 2013, 'B': 2104, 'C': 3361, 'D': 2853, 'E': 2637}
2003-10-24 00:00:00 {'A': 2020, 'B': 2102, 'C': 3349, 'D': 2846, 'E': 2644}
2003-10-25 00:00:00 {'A': 2020, 'B': 2102, 'C': 3349, 'D': 2846, 'E': 2644}
2003-10-26 00:00:00 {'A': 2020, 'B': 2102, 'C': 3349, 'D': 2846, 'E': 2644}
2003-10-27 00:00:00 {'A': 2016, 'B': 2102, 'C': 3355, 'D': 2847, 'E': 2646}
2003-10-28 00:00:00 {'A': 2004, 'B': 2120, 'C': 3353, 'D': 2874, 'E': 2639}
2003-10-29 00:00:00 {'A': 2000, 'B': 2120, 'C': 3369, 'D': 2871, 'E': 2631}
2003-10-30 00:00:00 {'A': 1999, 'B': 2117, 'C': 3392, 'D': 2851, 'E': 2627}
2003-10-31 00:00:00 {'A': 1999, 'B': 2125, 'C': 3370, 'D': 2869, 'E': 2626}
2003-11-01 00:00:00 {'A': 1999, 'B': 2125, 'C': 3370, 'D': 2869, 'E': 2626}
2003-11-02 00:00:00 {'A': 1999, 'B': 2125, 'C': 3650, 'D': 2869, 'E': 2271}
2003-11-03 00:00:00 {'A': 1992, 'B': 2133, 'C': 3674, 'D': 2853, 'E': 2269}
2003-11-04 00:00:00 {'A': 1990, 'B': 2120, 'C': 3690, 'D': 2861, 'E': 2260}
2003-11-05 00:00:00 {'A': 1991, 'B': 2120, 'C': 3679, 'D': 2862, 'E': 2268}
2003-11-06 00:00:00 {'A': 1987, 'B': 2126, 'C': 3679, 'D': 2878, 'E': 2260}
2003-11-07 00:00:00 {'A': 1986, 'B': 2117, 'C': 3695, 'D': 2879, 'E': 2250}
2003-11-08 00:00:00 {'A': 1986, 'B': 2117, 'C': 3695, 'D': 2879, 'E': 2250}
2003-11-09 00:00:00 {'A': 1986, 'B': 2117, 'C': 3695, 'D': 2879, 'E': 2250}
2003-11-10 00:00:00 {'A': 1988, 'B': 2108, 'C': 3707, 'D': 2869, 'E': 2248}
2003-11-11 00:00:00 {'A': 1991, 'B': 2109, 'C': 3696, 'D': 2874, 'E': 2248}
2003-11-12 00:00:00 {'A': 1987, 'B': 2129, 'C': 3671, 'D': 2894, 'E': 2252}
2003-11-13 00:00:00 {'A': 1998, 'B': 2141, 'C': 3600, 'D': 2907, 'E': 2291}
2003-11-14 00:00:00 {'A': 2013, 'B': 2141, 'C': 3560, 'D': 2913, 'E': 2302}
2003-11-15 00:00:00 {'A': 2013, 'B': 2141, 'C': 3560, 'D': 2913, 'E': 2302}
2003-11-16 00:00:00 {'A': 2013, 'B': 2141, 'C': 3560, 'D': 2913, 'E': 2302}
2003-11-17 00:00:00 {'A': 2017, 'B': 2133, 'C': 3556, 'D': 2933, 'E': 2291}
2003-11-18 00:00:00 {'A': 2022, 'B': 2118, 'C': 3544, 'D': 2957, 'E': 2289}
2003-11-19 00:00:00 {'A': 2022, 'B': 2134, 'C': 3541, 'D': 2944, 'E': 2291}
2003-11-20 00:00:00 {'A': 2022, 'B': 2118, 'C': 3562, 'D': 2932, 'E': 2286}
2003-11-21 00:00:00 {'A': 2015, 'B': 2113, 'C': 3594, 'D': 2922, 'E': 2277}
2003-11-22 00:00:00 {'A': 2015, 'B': 2113, 'C': 3594, 'D': 2922, 'E': 2277}
2003-11-23 00:00:00 {'A': 2015, 'B': 2113, 'C': 3594, 'D': 2922, 'E': 2277}
2003-11-24 00:00:00 {'A': 2009, 'B': 2140, 'C': 3582, 'D': 2925, 'E': 2277}
2003-11-25 00:00:00 {'A': 2006, 'B': 2140, 'C': 3603, 'D': 2909, 'E': 2273}
2003-11-26 00:00:00 {'A': 2002, 'B': 2146, 'C': 3611, 'D': 2897, 'E': 2277}
2003-11-27 00:00:00 {'A': 2002, 'B': 2146, 'C': 3611, 'D': 2897, 'E': 2277}
2003-11-28 00:00:00 {'A': 2000, 'B': 2145, 'C': 3620, 'D': 2892, 'E': 2275}
2003-11-29 00:00:00 {'A': 2000, 'B': 2145, 'C': 3620, 'D': 2892, 'E': 2275}
2003-11-30 00:00:00 {'A': 2000, 'B': 2145, 'C': 3620, 'D': 2892, 'E': 2275}
2003-12-01 00:00:00 {'A': 1997, 'B': 2164, 'C': 3592, 'D': 2898, 'E': 2295}
